"Feature","Importance","Yes"
"mean_mmse",100,100
"baseline_mmse",89.98692078082,89.98692078082
"sd_mmse",27.3829044160023,27.3829044160023
"mean_wbv",22.7778838610218,22.7778838610218
"mmse_slope",22.1420520906519,22.1420520906519
"mean_tiv",13.0659188962605,13.0659188962605
"tiv_slope",12.6993101151323,12.6993101151323
"mean_asf",12.106562371989,12.106562371989
"educ",11.387553944164,11.387553944164
"wbv_slope",8.44869717412631,8.44869717412631
"asf_slope",4.60240538126806,4.60240538126806
"ses",4.15479366675357,4.15479366675357
"idade",0,0
